RGB: [100, 100, 100], Nome do bloco: Deepslate
RGB: [76, 76, 76], Nome do bloco: Color_gray
RGB: [57, 41, 35], Nome do bloco: Terracotta_gray
RGB: [76, 76, 76], Nome do bloco: Color_gray
RGB: [87, 92, 92], Nome do bloco: Terracotta_cyan
RGB: [76, 76, 76], Nome do bloco: Color_gray
RGB: [100, 100, 100], Nome do bloco: Deepslate
RGB: [102, 76, 51], Nome do bloco: Color_brown
RGB: [102, 76, 51], Nome do bloco: Color_brown
RGB: [76, 50, 35], Nome do bloco: Terracotta_brown
RGB: [25, 25, 25], Nome do bloco: Color_black
RGB: [102, 76, 51], Nome do bloco: Color_brown
RGB: [102, 76, 51], Nome do bloco: Color_brown
RGB: [102, 76, 51], Nome do bloco: Color_brown
RGB: [102, 76, 51], Nome do bloco: Color_brown
RGB: [102, 76, 51], Nome do bloco: Color_brown
RGB: [76, 50, 35], Nome do bloco: Terracotta_brown
RGB: [37, 22, 16], Nome do bloco: Terracotta_black
RGB: [37, 22, 16], Nome do bloco: Terracotta_black
RGB: [25, 25, 25], Nome do bloco: Color_black
RGB: [25, 25, 25], Nome do bloco: Color_black
RGB: [25, 25, 25], Nome do bloco: Color_black
RGB: [37, 22, 16], Nome do bloco: Terracotta_black
RGB: [37, 22, 16], Nome do bloco: Terracotta_black
RGB: [25, 25, 25], Nome do bloco: Color_black
RGB: [25, 25, 25], Nome do bloco: Color_black
RGB: [37, 22, 16], Nome do bloco: Terracotta_black
RGB: [76, 50, 35], Nome do bloco: Terracotta_brown
RGB: [25, 25, 25], Nome do bloco: Color_black
RGB: [25, 25, 25], Nome do bloco: Color_black
RGB: [37, 22, 16], Nome do bloco: Terracotta_black
RGB: [186, 133, 36], Nome do bloco: Terracotta_yellow
RGB: [137, 107, 98], Nome do bloco: Teracotta_light_gray
RGB: [25, 25, 25], Nome do bloco: Color_black
RGB: [37, 22, 16], Nome do bloco: Terracotta_black
RGB: [129, 86, 49], Nome do bloco: Podzol
RGB: [76, 50, 35], Nome do bloco: Terracotta_brown
RGB: [137, 107, 98], Nome do bloco: Teracotta_light_gray
RGB: [25, 25, 25], Nome do bloco: Color_black
RGB: [37, 22, 16], Nome do bloco: Terracotta_black
RGB: [25, 25, 25], Nome do bloco: Color_black
RGB: [37, 22, 16], Nome do bloco: Terracotta_black
